Region,WeGlide,OpenAIP,OpenAIP ID,Launches,Wrong
CZ,Liberec,LIBEREC,149517,7,
CZ,Horice,HORICE,149495,0,
CZ,Cheb,CHEB,149485,0,
CZ,Klatovy,KLATOVY,149507,4,
DE-BB,Lüsse,LUESSE,152702,637,
DE-BB,Reinsdorf,REINSDORF,152949,455,
DE-BB,Brandenburg-Mühlenfeld,BRANDENBURG-MUEHLENFELD,152142,351,
DE-BB,Wittstock-Berlinchen,WITTSTOCK-BERLINCHEN,153210,308,
DE-BB,Bronkow,BRONKOW,152159,198,
DE-BB,Eisenhüttenstadt,EISENHUETTENSTADT,152282,250,
DE-BB,Stölln/Rhinow,STOELLN/RHINOW,153091,150,
DE-BB,Holzdorf,HOLZDORF,152508,328,
DE-BB,Pritzwalk-Sommersberg,PRITZWALK-SOMMERSBERG,152932,475,
DE-BB,Neuruppin,NEURUPPIN,152811,82,
DE-BB,Schwarzheide/Schipkau,SCHWARZHEIDE/SCHIPKAU,153022,132,
DE-BB,Eggersdorf,EGGERSDORF,152276,136,
DE-BB,Finsterwalde-Heinrichsruh,FINSTERWALDE/HEINRICHSRUH,152326,101,
DE-BB,Kammermark,KAMMERMARK,152574,90,
DE-BB,Kyritz,KYRITZ,152614,54,
DE-BB,Strausberg,STRAUSBERG,153086,71,
DE-BB,Oehna-Zellendorf,OEHNA,152862,87,
DE-BB,Neuhausen,NEUHAUSEN,152803,1,
DE-BB,Friedersdorf,FRIEDERSDORF,152344,51,
DE-BB,Stechow-Ferchesar,STECHOW-FERCHESAR,153075,1,
DE-BB,Locktow,LOCKTOW,152677,16,
DE-BB,Schönhagen,SCHOENHAGEN,153039,23,
DE-BB,Perleberg,PERLEBERG,152909,33,
DE-BB,Bienenfarm,BIENENFARM,152116,4,
DE-BB,Finsterwalde-Schacksdorf,FINSTERWALDE/SCHACKSDORF,152327,0,
DE-BB,Cottbus-Drewitz,COTTBUS-DREWITZ,152211,0,
DE-BB,Saarmund,SAARMUND,152996,0,
DE-BB,Eberswalde-Finow,EBERSWALDE-FINOW,152274,1,
DE-BB,Falkenberg-Lönnewitz,FALKENBERG-LOENNEWITZ,152323,0,
DE-BB,Neubrandenburg M,NEUBRANDENBURG,152797,0,
DE-BB,Spremberg Welzow,WELZOW,153066,0,
DE-BB,Fehrbellin,FEHRBELLIN,152988,0,
DE-BB,Schlierstadt-Seligenberg,SCHLIERSTADT-SELIGENBERG,153012,0,
DE-BB,Segeletz,SEGELETZ,153042,0,
DE-BB,Altes Lager,ALTES LAGER,152002,0,
DE-BB,Kremmen-Hohenbruch,KREMMEN-HOHENBRUCH,152609,1,
DE-BW,Aalen-Elchingen,AALEN-HEIDENHEIM/ELCHINGEN,151977,913,
DE-BW,Hahnweide,HAHNWEIDE,152441,562,
DE-BW,Klippeneck,KLIPPENECK,152598,624,
DE-BW,Winzeln-Schramberg,WINZELN-SCHRAMBERG,153203,360,
DE-BW,Hütten-Hotzenwald,HUETTEN-HOTZENWALD,152538,297,
DE-BW,Grabenstetten,GRABENSTETTEN,152388,173,
DE-BW,Farrenberg,FARRENBERG,152324,121,
DE-BW,Erbach,ERBACH,152296,103,
DE-BW,Leibertingen,LEIBERTINGEN,152656,178,
DE-BW,Rheinstetten,RHEINSTETTEN,152961,190,
DE-BW,Hockenheim,HOCKENHEIM,152499,97,
DE-BW,Blaubeuren,BLAUBEUREN,152121,134,
DE-BW,Musbach,MUSBACH,152754,142,
DE-BW,Hornberg,HORNBERG,152512,147,
DE-BW,Dettingen Teck,TECK,378796,148,
DE-BW,Walldürn,WALLDUERN,153166,160,
DE-BW,Mannheim City,MANNHEIM CITY,152716,162,
DE-BW,Übersberg,UEBERSBERG,153244,137,
DE-BW,Bartholomä,BARTHOLOMAE-AMALIENHOF,152086,195,
DE-BW,Laichingen,LAICHINGEN,152633,173,
DE-BW,Offenburg-Baden,OFFENBURG,152869,147,
DE-BW,Gerstetten,GERSTETTEN,152377,123,
DE-BW,Mengen-Hohenteng,MENGEN-HOHENTENGEN,152732,59,
